Experiment,Tank,Main.frag,AvgTLperday
Exp 1,5,D,1.915
Exp 1,2,D,2.124
Exp 1,13,D,2.254333333
Exp 1,21,D,2.7735
Exp 1,18,D,2.847333333
Exp 1,17,E,0.429
Exp 1,1,E,0.9735
Exp 1,7,E,0.97575
Exp 1,3,E,1.55525
Exp 1,14,E,1.6165
Exp 1,19,E,2.0592
Exp 1,4,E,2.472
Exp 1,16,E,2.877
Exp 1,10,F,1.6165
Exp 1,17,G,0.4895
Exp 1,19,G,1.279
Exp 1,3,G,1.4725
Exp 1,11,H,0.4945
Exp 1,10,H,2.212
Exp 1,6,I,2.32725
Exp 2,41,D,0.176
Exp 2,13,D,0.272666667
Exp 2,30,D,0.532333333
Exp 2,34,D,1.293
Exp 2,2,D,1.328666667
Exp 2,15,E,0.298666667
Exp 2,12,E,0.345333333
Exp 2,1,E,0.612777778
Exp 2,20,E,1.534777778
Exp 2,14,E,3.360666667
Exp 2,38,E,10.015
Exp 2,5,J,0.333166667
Exp 2,43,J,0.4855
Exp 2,48,J,0.524333333
Exp 2,35,J,0.872
Exp 2,8,J,0.979888889
Exp 2,22,J,1.051833333
Exp 2,7,J,1.076
Exp 2,47,J,1.288666667
Exp 2,27,J,3.928
Exp 2,50,J,4.29
Exp 2,19,K,0.068666667
Exp 2,21,K,0.159
Exp 2,37,K,0.658333333
Exp 2,23,K,1.82
Exp 2,6,K,2.059833333
Exp 2,10,K,2.545
Exp 2,46,K,2.823166667
Exp 2,44,K,3.692
Exp 2,11,K,3.871333333
Exp 2,24,L,0.4
Exp 2,9,L,1.443333333
Exp 2,4,L,2.3295
Exp 2,25,L,2.804583333
Exp 2,26,L,3.665333333
Exp 2,29,L,4.382
Exp 2,3,L,5.501
Exp 3,22,D,1.459666667
Exp 3,6,D,1.916833333
Exp 3,38,E,0.531
Exp 3,24,E,0.7445
Exp 3,11,E,0.976333333
Exp 3,40,E,1.2014375
Exp 3,41,J,0.913722222
Exp 3,18,J,1.066666667
Exp 3,47,J,1.201666667
Exp 3,14,J,1.303333333
Exp 3,33,J,1.524666667
Exp 3,1,J,1.714666667
Exp 3,30,J,2.005229167
Exp 3,45,J,2.392
Exp 3,36,J,2.741
Exp 3,48,J,2.871833333
Exp 3,17,K,0.138
Exp 3,29,K,0.239333333
Exp 3,5,K,0.607333333
Exp 3,23,K,5.551166667
Exp 3,32,L,0.9955
Exp 3,7,L,1.110666667
Exp 3,28,L,4.538666667
Exp 3,25,L,4.823
Exp 3,27,M,0.670222222
Exp 3,46,M,1.215444444
Exp 3,37,M,1.242666667
Exp 3,13,M,4.181666667
Exp 3,15,N,0.405333333
Exp 3,34,N,0.808333333
Exp 3,19,N,1.378333333
Exp 3,50,N,1.491833333
Exp 3,42,N,1.495716667
Exp 3,31,N,2.597
Exp 4,27,E,1.845
Exp 4,24,J,1.459
Exp 4,20,J,1.509666667
Exp 4,38,K,0.011666667
Exp 4,36,K,0.6295
Exp 4,49,K,1.105333333
Exp 4,37,K,3.151333333
Exp 4,18,K,4.482333333
Exp 4,35,L,0.483333333
Exp 4,50,L,2.041833333
Exp 4,33,M,1.164833333
Exp 4,21,M,2.311083333
Exp 4,34,M,2.501666667
Exp 4,32,O,0.660555556
Exp 4,30,O,0.750666667
Exp 4,22,O,1.1475
Exp 4,28,O,1.407666667
Exp 4,26,O,1.744333333
Exp 4,13,O,2.023333333
Exp 4,16,O,2.138166667
Exp 4,20,O,2.173
Exp 4,45,O,4.581666667
Exp 4,29,P,0.272666667
Exp 4,14,P,0.4776
Exp 4,27,P,0.797333333
Exp 4,15,P,1.3125
Exp 4,35,P,1.730666667
Exp 4,31,P,1.913666667
Exp 4,25,P,2.042166667
Exp 4,40,P,2.1065
Exp 4,48,P,4.157666667
Exp 4,46,P,4.912
Exp 4,44,P,5.207166667
