Putative.Genotype.ID,Individual.ID,Genotype,Geno.std,Tank,Treatment,Donor Frag,Donor.change,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16,Day 17,Day 18
M34,Exp4_D13_M34,M34 (1/2),M34,13,Diseased,O,,Healthy,Healthy,Healthy,Initial Disease,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M30,Exp4_D14_M30,M30 (1/2),M30,14,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M32,Exp4_D14_M32,M32 (1/2),M32,14,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
M23,Exp4_D15_M23,M23 (1/2),M23,15,Diseased,P,,Healthy,Healthy,Watch,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M29,Exp4_D15_M29,M29 (1/2),M29,15,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M21,Exp4_D16_M21,M21 (1/2),M21,16,Diseased,O,,Healthy,Watch,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Watch,Watch,Watch,Diseased,Removed,Removed,Removed,Removed,Removed
M28,Exp4_D16_M28,M28 (1/2),M28,16,Diseased,O,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed
GB25,Exp4_D17_GB25,GB25 (2/2),GB25,17,Diseased,J,,Healthy,Healthy,Healthy,Watch,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M2,Exp4_D17_M2,M2 (2/2),M2,,Diseased,J,,Healthy,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
F12,Exp4_D18_F12,F12 (2/2),F12,18,Diseased,K,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB13,Exp4_D18_GB13,GB13 (2/2),GB13,18,Diseased,K,,Healthy,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M4,Exp4_D19_M4,M4 (2/2),M4,19,Diseased,M,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M6,Exp4_D19_M6,M6 (2/2),M6,19,Diseased,M,,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB22,Exp4_D20_GB22,GB22,GB22,20,Diseased,J,O.Day10,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed
M13,Exp4_D20_M13,M13 (1/2),M13,20,Diseased,J,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed
M35,Exp4_D21_M35,M35,M35,21,Diseased,M,,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M6,Exp4_D21_M6,M6 (1/2),M6,21,Diseased,M,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased
M20,Exp4_D22_M20,M20 (2/2),M20,22,Diseased,O,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M4,Exp4_D22_M4,M4 (1/2),M4,22,Diseased,O,,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Watch,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
M36,Exp4_D23_M36,M36,M36,23,Diseased,P,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M7,Exp4_D23_M7,M7,M7,23,Diseased,P,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M9,Exp4_D24_M9,M9,M9,24,Diseased,J,,Healthy,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
15431,Exp4_D25_15-431,15-431,15431,25,Diseased,P,,Healthy,Healthy,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
AE3,Exp4_D25_AE3,AE3,AE3,25,Diseased,P,,Healthy,Watch,Watch,Healthy,Initial Disease,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
AE5,Exp4_D26_AE5,AE5,AE5,26,Diseased,O,,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
F12,Exp4_D26_F12,F12 (1/2),F12,26,Diseased,O,,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB13,Exp4_D27_GB13,GB13 (1/2),GB13,27,Diseased,E,P.Day10,Healthy,Watch,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Watch,Watch,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy
