Site,Unique ID,Outplant.Date,Tag.Num,Project Type,Attachment Method,Plug Type,Geno Layout,Num.Frags.Array,Species,Geno,Time.Point,Monitoring.Date,Num.Dead.Old,Num.Dead.New,Num.Missing,Num.Predation,Perc.Partial.Mortality.Old,Perc.Partial.Mortality.New,Fish.Predation,Snails,Disease,Bleaching,Overall.Condition,Fusion,Comments,Location
CI_M_1,43292-CI_M_1-10,7/11/2018,10,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,1,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-11,7/11/2018,11,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,1,0,0,0,Y,N,N,N,0,0,Evidence of minor-moderate fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-7,7/11/2018,7,Restoration,plug/concrete,ce,grouped,7,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-9,7/11/2018,9,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-5,7/11/2018,5,Restoration,plug/concrete,ce,grouped,21,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-6,7/11/2018,6,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-23,7/12/2018,23,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,Y,N,N,N,0,0,Evidence of minor-moderate fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-8,7/11/2018,8,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-21,7/12/2018,21,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,2,0,0,0,Y,N,N,N,0,0,Evidence of minor-moderate fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43293-CI_M_1-22,7/12/2018,22,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,1,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-1,7/11/2018,1,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
CI_M_1,43292-CI_M_1-2,7/11/2018,2,Restoration,plug/concrete,ce,grouped,20,OFAV,OF125,One.Month,8/14/2018,0,0,0,0,0,0,no data,N,N,N,0,0,Evidence of minor fish predation (and healed tissue) on coral edges,Cook Island
