Restoration.name,Putative.Genotype.ID,Genotype.name,Other.names,OFAV.Old.Name,Mote.Known.Clones,Type,Source,Hybrid,Collection.Latitude,Collection.Longitude,Year.of.initial.collection,Partner.Source,Mote.Genotyped,Mote.2brad,Mote.Putative.2bRAD.Clones,Mote.Microsatellites,Mote.Putative.MSAT.Clones,Mote.Disease.Tested,Mote.Temp.Tested,Mote.OA.Tested
OF4,1OF4,1-OF-4,"F4A,F4B","F4A,F4B",,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,,,
OF100,OF100,OF100,,NONE,,COO,Jaap,Y,24.58721,-81.5783,12.15.2020,Mote,,,,,,NA,NA,NA
OF11,OF11,OF11,X11,X11,OF32,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018","F1, F32","Imhof, 2018",,2018,2018,2018
OF1,OF1,OF1,F1,F1,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018","F32, X-11","Imhof, 2018",,2018,2018,2018
OF12,OF12,OF12,"OF12, F12",F12,OF27,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",F27,"Imhof, 2018",F27,2018,2018,2018
OF12,F12,F12,OF12,F12,OF27,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",F27,"Imhof, 2018",F27,2018,2018,2018
OF125,OF125,OF125,F125,F125,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",,"Imhof, 2018",,2018,2018,2018
OF126,OF126,OF126,F126,F126,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",,"Imhof, 2018",,2018,2018,2018
OF132,OF132,OF132,F132,F132,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",,"Imhof, 2018",,2018,2020,2020
OF15,OF15,OF15,F15,F15,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,,,,,,2021,NA,NA
OF2,OF2,OF2,OF 2,F1A,,COO,KWN,N,24.55107,-81.80805,2010-2017,Mote,Yes,"Kenkel, 2018",,"Imhof, 2018",,2018,2018,2018
