Putative.Genotype.ID,Individual.ID,Genotype,Geno.std,Tank,Treatment,Donor Frag,Donor.change,Day 0,Day 1,Day 2,Day 3,Day 4,Day 5,Day 6,Day 7,Day 8,Day 9,Day 10,Day 11,Day 12,Day 13,Day 14,Day 15,Day 16
GB8,Exp3_D1_GB8,GB8,GB8,1,Disease,J,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M12,Exp3_D1_M12,M12,M12,1,Disease,J,,Healthy,Healthy,Healthy,Watch,Healthy,Healthy,Watch,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB9,Exp3_D2_GB9,GB9,GB9,2,Disease,K,,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF662,Exp3_D2_OF662,OF662,OF662,2,Disease,K,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB10,Exp3_D3_GB10,GB10,GB10,3,Disease,L,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M6,Exp3_D3_M6,M6,M6,3,Disease,L,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
F1A,Exp3_D4_F1A,F1A (1/2),F1A,4,Disease,E,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB19,Exp3_D4_GB19,GB19,GB19,4,Disease,E,,Healthy,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB16,Exp3_D5_GB16,GB16,GB16,5,Disease,K,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
UK25,Exp3_D5_UK25,UK25 (1/2),UK25,5,Disease,K,,Healthy,Watch,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M17,Exp3_D6_M17,M17,M17,6,Disease,D,,Healthy,Initial Disease,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S503,Exp3_D6_S503,S503,S503,6,Disease,D,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed
GB23,Exp3_D7_GB23,GB23,GB23,7,Disease,L,,Healthy,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M5,Exp3_D7_M5,M5,M5,7,Disease,L,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
15353,Exp3_D8_15-353,15-353 (1/2),15353,8,Disease,M,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M36,Exp3_D8_M36,M36,M36,8,Disease,M,,Healthy,Watch,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M10,Exp3_D9_M10,M10,M10,9,Disease,M,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S331,Exp3_D9_OF331,OF331,S331,9,Disease,M,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
GB15,Exp3_D10_GB15,GB15,GB15,10,Disease,J,E.Day3,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF61,Exp3_D10_OF61,OF61,OF61,10,Disease,J,E.Day3,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M2,Exp3_D11_M2,M2,M2,11,Disease,E,,Healthy,Healthy,Initial Disease,Diseased,Diseased,Diseased,Diseased,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S59,Exp3_D11_S59,S59,S59,11,Disease,E,,Healthy,Watch,Healthy,Healthy,Watch,Watch,Initial Disease,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
F32,Exp3_D12_F32,F32 (1/2),F32,12,Disease,L,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M3,Exp3_D12_M3,M3,M3,12,Disease,L,,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF21,Exp3_D13_OF21,OF21,OF21,13,Disease,M,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
S373,Exp3_D13_S373,S373,S373,13,Disease,M,,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
15111,Exp3_D14_15-111,15-111,15111,14,Disease,J,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M18,Exp3_D14_M18,M18,M18,14,Disease,J,,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
M14,Exp3_D15_M14,M14,M14,15,Disease,N,,Healthy,Watch,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
OF657,Exp3_D15_OF657,OF657,OF657,15,Disease,N,,Healthy,Watch,Healthy,Healthy,Healthy,Healthy,Diseased,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed,Removed
