"","Site","Unique ID","Outplant.Date","Tag.Num","Project Type","Attachment Method","Plug Type","Geno Layout","Num.Frags.Array","Species","Geno","Time.Point","Monitoring.Date","Num.Dead.Old","Num.Dead.New","Num.Missing","Num.Predation","Perc.Partial.Mortality.Old","Perc.Partial.Mortality.New","Fish.Predation","Snails","Disease","Bleaching","Overall.Condition","Fusion","Comments","Perc.Survival","Location"
"1","CI_M_1","43292-CI_M_1-10",2018-07-11,"10","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","1","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"2","CI_M_1","43292-CI_M_1-11",2018-07-11,"11","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","1","0",0,0,"Y","N","N","N","0",0,"Evidence of minor-moderate fish predation (and healed tissue) on coral edges",100,"Cook Island"
"3","CI_M_1","43292-CI_M_1-7",2018-07-11,"7","Restoration","plug/concrete","ce","grouped",7,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"4","CI_M_1","43292-CI_M_1-9",2018-07-11,"9","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"5","CI_M_1","43292-CI_M_1-5",2018-07-11,"5","Restoration","plug/concrete","ce","grouped",21,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"6","CI_M_1","43292-CI_M_1-6",2018-07-11,"6","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"7","CI_M_1","43293-CI_M_1-23",2018-07-12,"23","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"Y","N","N","N","0",0,"Evidence of minor-moderate fish predation (and healed tissue) on coral edges",100,"Cook Island"
"8","CI_M_1","43292-CI_M_1-8",2018-07-11,"8","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"9","CI_M_1","43293-CI_M_1-21",2018-07-12,"21","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","2","0",0,0,"Y","N","N","N","0",0,"Evidence of minor-moderate fish predation (and healed tissue) on coral edges",100,"Cook Island"
"10","CI_M_1","43293-CI_M_1-22",2018-07-12,"22","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","1","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"11","CI_M_1","43292-CI_M_1-1",2018-07-11,"1","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"12","CI_M_1","43292-CI_M_1-2",2018-07-11,"2","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Month",2018-08-14,"0","0","0","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"13","CI_M_1","43292-CI_M_1-4",2018-07-11,"4","Restoration","plug/concrete","ce","grouped",19,"OFAV","OF125","One.Month",2018-08-14,"0","0","2","0",0,0,"no data","N","N","N","0",0,"Evidence of minor fish predation (and healed tissue) on coral edges",100,"Cook Island"
"14","CI_M_1","43293-CI_M_1-17",2018-07-12,"17","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Year",2019-07-17,"9","0","0","0",80,0,"N","N","N","N","0",0,"10 corals 80-90% OM",20,"Cook Island"
"15","CI_M_1","43293-CI_M_1-18",2018-07-12,"18","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Year",2019-07-17,"6","0","0","0",70,0,"N","N","N","Y","0",0,"11 corals 80% OM, Part bleached",30,"Cook Island"
"16","CI_M_1","43293-CI_M_1-19",2018-07-12,"19","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Year",2019-07-17,"14","0","0","0",80,0,"N","N","N","N","0",0,"0",20,"Cook Island"
"17","CI_M_1","43293-CI_M_1-20",2018-07-12,"20","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Year",2019-07-17,"0","0","3","0",0,0,"N","N","N","N","0",0,"0",100,"Cook Island"
"18","CI_M_1","43293-CI_M_1-21",2018-07-12,"21","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Year",2019-07-17,"0","0","2","0",0,0,"N","N","N","N","0",0,"0",100,"Cook Island"
"19","CI_M_1","43293-CI_M_1-22",2018-07-12,"22","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Year",2019-07-17,"5","0","1","0",20,0,"N","N","N","N","0",0,"2 coral 60%OM, 7 coral 90% OM",80,"Cook Island"
"20","CI_M_1","43293-CI_M_1-23",2018-07-12,"23","Restoration","plug/concrete","ce","grouped",20,"OFAV","OF125","One.Year",2019-07-17,"13","0","0","0",15,0,"N","N","N","N","0",0,"0",85,"Cook Island"
