"","Sample.ID","PutGeno","Genotype.Replicate","Technical.Replicate","Multi.Locus.Genotype.ID","MLG.Notes","Raw.Reads","Aligned","Alignment.Rate","Missing.Loci","Remove","Symbiodinium","Breviolum","Cladocopium","Durusdinium","Putative.Genotype.ID","Genotype.name.x","Other.names.x","Seq.WGS","Known.Mote.geno","Sample.Source","RestorationSample.InExp","Restoration.name","Genotype.name.y","Other.names.y","OFAV.Old.Name","Mote.Known.Clones","Type","Source","Hybrid","Collection.Latitude","Collection.Longitude","Year.of.initial.collection","Partner.Source","Mote.Genotyped","Mote.2brad","Mote.Putative.2bRAD.Clones","Mote.Microsatellites","Mote.Putative.MSAT.Clones","Mote.Disease.Tested","Mote.Temp.Tested","Mote.OA.Tested"
"1","s001","15-353","15-353","no","WGS-1","",24550282,18807292,0.766,12519,"y",0.170537037,0.03798151,0.245917823,0.54556363,"15353","15-353","OF353","YES","Y","Experiment",NA,"OF353","15-353","OF353","15-353","","SR","H","N",25.139367,-80.294017,"2015 batch","Margaret Miller","","","","","",NA,NA,NA
"2","s002","OF100","OF100","no","WGS-2","",24537896,20001933,0.815,790,"",0.083659589,0.753268747,0.037922551,0.125149113,"OF100","OF100","","YES","Y","Experiment",NA,"OF100","OF100","","NONE","","COO","Jaap","Y",24.58721,-81.5783,"12.15.2020","Mote","","","","","",NA,NA,NA
"3","s003","GB17","GB17","no","WGS-3","",24643689,19776283,0.802,828,"",0.091165131,0.013287286,0.090343421,0.805204162,"GB17","GB17","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"4","s004","F32","F32","no","WGS-4","",25500611,16428819,0.644,1011,"",0.043209676,0.006036646,0.026892319,0.923861359,"F32","F32","OF32","YES","Y","Experiment",NA,"OF32","F32","OF32","F32","OF11","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","Yes","Kenkel, 2018","F1, X11","Imhof, 2018","",2018,2018,2018
"5","s005","GB1","GB1_wgs_1","yes","WGS-154","",26525495,20696913,0.78,647,"x",0.085372003,0.012947885,0.088244815,0.813435298,"GB1","GB1","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"6","s006","GB16","GB16","no","WGS-6","",19762388,15272964,0.773,977,"",0.05760479,0.00979357,0.051062674,0.881538966,"GB16","GB16","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"7","s007","GB9","GB9","no","WGS-7","",25562224,20663438,0.808,782,"",0.061493698,0.010195884,0.0498675,0.878442917,"GB9","GB9","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"8","s008","M2-AE23","M2-AE23","no","WGS-8","",24134469,17458921,0.723,939,"",0.051720704,0.009187974,0.056189996,0.882901326,"M2-AE23","M2-AE23","","YES","N",NA,"N",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"9","s010","OF75","OF75","no","WGS-10","",24511839,19025706,0.776,706,"",0.059547545,0.01520419,0.055406401,0.869841864,"OF75","OF75","F75","YES","Y","Experiment",NA,"OF75","OF75","F75","F75","","COO","KWN","N",24.55107,-81.80805,"2010-2017","Mote","","","","","",NA,NA,NA
"10","s011","M8","M8","no","WGS-11","",24772288,18890251,0.763,880,"",0.029650816,0.005086438,0.029994158,0.935268588,"M8","M8","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"11","s012","GB19","GB19","no","WGS-12","",24199784,17566038,0.726,1000,"x",0.033628039,0.005844887,0.027911627,0.932615447,"GB19","GB19","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"12","s013","M6","M6","no","WGS-13","",24226277,18014174,0.744,791,"",0.103478284,0.013739088,0.106235343,0.776547284,"M6","M6","","YES","N","Experiment",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
