"","Healthy","Removed","Exposed","DEP.Genotype","avgDaysDiseased.std","avgFracExpHealthy","FracDiseased","FracHealthy"
"GB 11",0,2,2,"GB 11",0.0767045454545455,0.338068181818182,1,0
"M15",0,2,2,"M15",0.121527777777778,0.173611111111111,1,0
"M9",0,2,2,"M9",0.180555555555556,0.149305555555556,1,0
"OF331",0,4,4,"OF331",0.101663961038961,0.453936688311688,1,0
"OF626",0,1,1,"OF626",0.142857142857143,0.142857142857143,1,0
"OF655",0,2,2,"OF655",0.0811688311688312,0.467532467532468,1,0
"OF685",0,1,1,"OF685",0.0714285714285714,0.357142857142857,1,0
"S564",0,1,1,"S564",0.285714285714286,0.0714285714285714,1,0
"WGS-1",0,3,3,"WGS-1",0.071969696969697,0.267045454545455,1,0
"WGS-10",0,3,3,"WGS-10",0.0957792207792208,0.451569264069264,1,0
"WGS-100",0,3,3,"WGS-100",0.105248917748918,0.218344155844156,1,0
"WGS-101",0,2,2,"WGS-101",0.0811688311688312,0.405844155844156,1,0
"WGS-102",0,1,1,"WGS-102",0.0714285714285714,0.357142857142857,1,0
"WGS-103",0,1,1,"WGS-103",0.214285714285714,0.214285714285714,1,0
"WGS-104",0,1,1,"WGS-104",0.0714285714285714,0.214285714285714,1,0
"WGS-105",0,1,1,"WGS-105",0.181818181818182,0.0909090909090909,1,0
"WGS-106",0,3,3,"WGS-106",0.104377104377104,0.202020202020202,1,0
"WGS-107",0,2,2,"WGS-107",0.289772727272727,0.122159090909091,1,0
"WGS-108",0,3,3,"WGS-108",0.0999579124579125,0.359427609427609,1,0
"WGS-109",0,1,1,"WGS-109",0.0625,0.4375,1,0
"WGS-11",1,1,2,"WGS-11",0.527777777777778,0.722222222222222,0.5,0.5
"WGS-110",0,2,2,"WGS-110",0.0590277777777778,0.177083333333333,1,0
"WGS-111",0,3,3,"WGS-111",0.0578703703703704,0.25462962962963,1,0
"WGS-112",0,3,3,"WGS-112",0.0696548821548822,0.42003367003367,1,0
"WGS-113",0,2,2,"WGS-113",0.0767045454545455,0.400568181818182,1,0
"WGS-114",1,2,3,"WGS-114",0.458874458874459,0.508658008658009,0.666666666666667,0.333333333333333
"WGS-115",0,2,2,"WGS-115",0.128787878787879,0.292929292929293,1,0
"WGS-116",1,2,3,"WGS-116",0.425925925925926,0.592592592592593,0.666666666666667,0.333333333333333
"WGS-117",1,2,3,"WGS-117",0.462962962962963,0.537037037037037,0.666666666666667,0.333333333333333
"WGS-118",1,2,3,"WGS-118",0.435606060606061,0.426136363636364,0.666666666666667,0.333333333333333
"WGS-119",1,1,2,"WGS-119",0.53125,0.625,0.5,0.5
"WGS-12",0,6,6,"WGS-12",0.0940656565656566,0.212752525252525,1,0
"WGS-120",0,3,3,"WGS-120",0.0928030303030303,0.265151515151515,1,0
"WGS-121",0,3,3,"WGS-121",0.140422077922078,0.250270562770563,1,0
"WGS-122",0,3,3,"WGS-122",0.167207792207792,0.226461038961039,1,0
"WGS-123",1,2,3,"WGS-123",0.372685185185185,0.451388888888889,0.666666666666667,0.333333333333333
"WGS-124",0,2,2,"WGS-124",0.198051948051948,0.116883116883117,1,0
"WGS-125",0,1,1,"WGS-125",0.0625,0.125,1,0
"WGS-126",0,1,1,"WGS-126",0.181818181818182,0.272727272727273,1,0
"WGS-127",1,2,3,"WGS-127",0.53030303030303,0.473063973063973,0.666666666666667,0.333333333333333
