Sample ID,WGSPutGenoLabel,Geno.std,Genotype.Replicate,Technical Replicate,Multi-Locus Genotype ID,Raw Reads,Aligned,Alignment Rate,Missing Loci,Symbiodinium,Breviolum,Cladocopium,Durusdinium
s001,15-353,15353,15-353,no,1,24550282,18807292,0.766,12519,0.170537037,0.03798151,0.245917823,0.54556363
s002,OF100,OF100,OF100,no,2,24537896,20001933,0.815,790,0.083659589,0.753268747,0.037922551,0.125149113
s003,GB17,GB17,GB17,no,3,24643689,19776283,0.802,828,0.091165131,0.013287286,0.090343421,0.805204162
s004,F32,F32,F32,no,4,25500611,16428819,0.644,1011,0.043209676,0.006036646,0.026892319,0.923861359
s005,GB1,GB1,GB1_wgs_1,yes,154,26525495,20696913,0.78,647,0.085372003,0.012947885,0.088244815,0.813435298
s006,GB16,GB16,GB16,no,6,19762388,15272964,0.773,977,0.05760479,0.00979357,0.051062674,0.881538966
s007,GB9,GB9,GB9,no,7,25562224,20663438,0.808,782,0.061493698,0.010195884,0.0498675,0.878442917
s008,M2-AE23,M2-AE23,M2-AE23,no,8,24134469,17458921,0.723,939,0.051720704,0.009187974,0.056189996,0.882901326
s009,OF689,OF689,OF689,no,9,24739035,8489282,0.343,3465,0.125513244,0.014024636,0.111939457,0.748522663
s010,OF75,OF75,OF75,no,10,24511839,19025706,0.776,706,0.059547545,0.01520419,0.055406401,0.869841864
s011,M8,M8,M8,no,11,24772288,18890251,0.763,880,0.029650816,0.005086438,0.029994158,0.935268588
s012,GB19,GB19,GB19,no,12,24199784,17566038,0.726,1000,0.033628039,0.005844887,0.027911627,0.932615447
s013,M6,M6,M6,no,13,24226277,18014174,0.744,791,0.103478284,0.013739088,0.106235343,0.776547284
s014,GB30,GB30,GB30,no,14,24709523,14161228,0.573,1302,0.031837722,0.004794311,0.026638299,0.936729668
s015,S509,S509,S509,no,15,25581201,11433624,0.447,2206,0.062732688,0.015014562,0.110648746,0.811604004
s016,OF656,OF656,OF656,no,154,26026614,21552521,0.828,540,0.061224281,0.008525236,0.044944555,0.885305927
s017,OF758,OF758,OF758,no,17,24782166,16854720,0.68,883,0.020163566,0.003724409,0.021722572,0.954389452
s018,OF1,OF1,OF1,no,18,24500744,18511451,0.756,685,0.045339628,0.00689331,0.053052048,0.894715014
s019,S31,S31,S31,no,19,24386411,8314031,0.341,3333,0.030682511,0.006562578,0.062866275,0.899888636
s020,15-71,1571,15-71,no,20,25065122,7353428,0.293,3877,0.149628685,0.035203894,0.399522941,0.41564448
s021,OF232,OF232,OF232,no,21,26907837,16798946,0.624,879,0.062974014,0.011219916,0.110679688,0.815126382
s022,OF434,OF434,OF434,no,22,25174675,15974479,0.635,1028,0.078021985,0.012957972,0.069291952,0.839728091
s023,OF22,OF22,OF22,no,23,25116195,7892961,0.314,3467,0.073612626,0.012391119,0.197870468,0.716125787
s024,15-350,15350,15-350,no,24,26028876,19006396,0.73,724,0.061268651,0.010072908,0.06366151,0.864996932
s025,OF701,OF701,OF701,no,25,26749521,16594225,0.62,962,0.12054271,0.069656287,0.224270648,0.585530356
s026,OF684,OF684,OF684,no,26,24362732,9492579,0.39,3875,0.16059293,0.067186719,0.348991067,0.423229284
s027,OF5,OF5,OF5,no,27,25120802,18918386,0.753,971,0.016169976,0.002562259,0.01236356,0.968904205
s028,OF793,OF793,OF793,no,28,19399521,10719912,0.553,3154,0.12450524,0.026583745,0.167475031,0.681435984
s029,15-358,15358,15-358,no,29,22797232,6359796,0.279,4791,0.196378223,0.048482596,0.224137489,0.531001692
s030,OF592,OF592,OF687,no,30,21133994,11768120,0.557,2288,0.091203995,0.024503021,0.155953266,0.728339718
s031,15-431,15431,15-431,no,31,19761108,11309894,0.572,2649,0.118484624,0.037697386,0.172876834,0.670941157
s032,OF566,OF566,OF662,no,32,27111915,20273728,0.748,808,0.10894416,0.021354911,0.143391747,0.726309182
s033,OF569,OF569,OF677,no,33,25479325,17666515,0.693,992,0.101461521,0.022197706,0.123980238,0.752360536
s034,OF32,OF32,OF32,no,34,22655636,11349130,0.501,2521,0.061787856,0.009034183,0.109740667,0.819437294
s035,OF745,OF745,OF745,no,35,19603998,12427078,0.634,1918,0.08927161,0.016578909,0.123434986,0.770714495
s036,GB29,GB29,GB29,no,36,25675607,19162797,0.746,735,0.061604725,0.009149487,0.067631497,0.861614291
s037,OF680,OF680,OF680,no,37,24785352,15597711,0.629,971,0.066793746,0.009115556,0.056834574,0.867256124
s038,OF705,OF705,OF705,no,38,24842654,17849205,0.718,739,0.090178122,0.015045319,0.119275403,0.775501155
s039,GB6,GB6,GB6,no,39,24702523,17582095,0.712,1039,0.060215701,0.011062334,0.054170453,0.874551513
s040,OF125,OF125,OF125,no,154,26281851,17142937,0.652,641,0.051718684,0.008500829,0.066924501,0.872855985
s041,AE5,AE5,AE5,no,130,28713380,21957800,0.765,600,0.053808809,0.008051243,0.056326285,0.881813664
s042,GB8,GB8,GB8,no,42,27212395,13758500,0.506,1289,0.115544468,0.014471293,0.100355382,0.769628856
s043,GB24,GB24,GB24,no,43,25857916,6722310,0.26,3865,0.090373856,0.011688424,0.048862601,0.849075118
s044,GB7,GB7,GB7,no,154,28457391,21677067,0.762,497,0.090286764,0.011931182,0.072904584,0.82487747
s045,OF464,OF464,OF464,no,45,27815296,2630529,0.095,5052,0.104575114,0.015595939,0.318321798,0.56150715
s046,OF700,OF700,OF700,no,46,20448667,16314006,0.798,1198,0.08234219,0.012897483,0.088033371,0.816726956
s047,UK 36,UK36,UK 36,no,47,22329350,14715424,0.659,1333,0.146850691,0.577795152,0.198824558,0.076529598
s048,OF263,OF263,OF263,no,48,19510706,15084478,0.773,1337,0.055882938,0.009541885,0.06010745,0.874467727
